period,year,month_num,month_name,month_label,type1_attendances,type2_attendances,type3_attendances,total_attendances,emerg_admissions_type1,emerg_admissions_type2,emerg_admissions_type3,total_emerg_admissions,type1_within_4hrs,type1_over_4hrs,total_within_4hrs,total_over_4hrs,total_4hr_denominator,pct_within_4hrs
2014-05-01,2014,5,May,May 2014,1287333,54446,636250,1978028,339253,1231,2677,343161,1186776.0,100557.0,1875839.0,102190.0,1978029.0,94.8
2014-06-01,2014,6,June,Jun 2014,1265211,54997,622060,1942268,327065,1251,2548,330864,1174433.0,90778.0,1849404.0,92864.0,1942268.0,95.2
2014-07-01,2014,7,July,Jul 2014,1302588,55793,635250,1993631,334823,1329,2513,338665,1208070.0,94519.0,1897359.0,96272.0,1993631.0,95.2
2014-08-01,2014,8,August,Aug 2014,1188147,53051,576112,1817310,321638,1233,2405,325277,1100823.0,87323.0,1728430.0,88880.0,1817310.0,95.1
2014-09-01,2014,9,September,Sep 2014,1221782,52195,579309,1853286,323733,1245,2414,327392,1123719.0,98063.0,1753436.0,99850.0,1853286.0,94.6
2014-10-01,2014,10,October,Oct 2014,1250114,54428,587832,1892374,339833,1572,2584,343988,1132970.0,117144.0,1773396.0,118978.0,1892374.0,93.7
2014-11-01,2014,11,November,Nov 2014,1205519,52329,572612,1830460,331924,1799,3355,337078,1087855.0,117664.0,1710729.0,119731.0,1830460.0,93.5
2014-12-01,2014,12,December,Dec 2014,1241895,47660,611673,1901227,353472,1807,3731,359010,1052857.0,189038.0,1709072.0,192155.0,1901227.0,89.9
2015-01-01,2015,1,January,Jan 2015,1124040,50900,557126,1732067,333669,1400,3389,338459,972839.0,151201.0,1578911.0,153156.0,1732067.0,91.2
2015-02-01,2015,2,February,Feb 2015,1072452,48157,534238,1654846,306651,1287,2915,310853,941203.0,131248.0,1521979.0,132868.0,1654847.0,92.0
2015-03-01,2015,3,March,Mar 2015,1251325,56383,635259,1942967,340682,1603,4359,346645,1112666.0,138659.0,1801773.0,141194.0,1942967.0,92.7
2015-04-01,2015,4,April,Apr 2015,1206631,52366,614171,1873168,326807,1434,4126,332367,1083542.0,123089.0,1747368.0,125799.0,1873167.0,93.3
2015-05-01,2015,5,May,May 2015,1254445,54809,628214,1937469,339572,1485,4315,345372,1146859.0,107586.0,1827184.0,110284.0,1937468.0,94.3
2015-06-01,2015,6,June,Jun 2015,1249213,53398,608598,1911209,328757,1139,4085,333981,1152550.0,96663.0,1811885.0,99324.0,1911209.0,94.8
2015-07-01,2015,7,July,Jul 2015,1271523,53417,627955,1952895,338445,1393,4203,344041,1176360.0,95163.0,1855420.0,97475.0,1952895.0,95.0
2015-08-01,2015,8,August,Aug 2015,1215826,49458,599855,1865139,331841,1225,4063,337129,1111430.0,104396.0,1758664.0,106475.0,1865139.0,94.3
2015-09-01,2015,9,September,Sep 2015,1221594,50868,587517,1859979,332984,1250,3847,338081,1101364.0,120230.0,1736868.0,123111.0,1859979.0,93.4
2015-10-01,2015,10,October,Oct 2015,1261395,50275,611438,1923108,345833,1041,4308,351182,1117242.0,144153.0,1775554.0,147554.0,1923108.0,92.3
2015-11-01,2015,11,November,Nov 2015,1236294,48306,589635,1874235,340241,1037,3630,344908,1075801.0,160493.0,1710763.0,163472.0,1874235.0,91.3
2015-12-01,2015,12,December,Dec 2015,1232965,46148,588539,1867652,353112,1098,3921,358131,1067228.0,165737.0,1699048.0,168604.0,1867652.0,91.0
2016-01-01,2016,1,January,Jan 2016,1250005,47208,609707,1906920,353778,1114,4076,358968,1037870.0,212135.0,1690634.0,216286.0,1906920.0,88.7
2016-02-01,2016,2,February,Feb 2016,1218372,48387,604017,1870776,333519,1047,3784,338350,994262.0,224110.0,1641695.0,229081.0,1870776.0,87.8
