period,org_code,org_name,nhs_region,type1_attendances_walkin,type1_attendances_booked,over_4hrs_walkin,over_4hrs_booked,waits_4_12hrs_dta,waits_12plus_hrs_dta,emergency_admissions_type1,other_emergency_admissions,type1_total_attendances,type1_total_over_4hrs,type1_pct_within_4hrs
2026-02-01,NNJ,DHU HEALTH CARE C.I.C,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE ,12523,0,4722,0,1169,202,3663,1016,12523,4722,62.3
2026-02-01,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,3844,421,1646,111,183,91,1646,446,4265,1757,58.8
2026-02-01,RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST ,0,0,0,0,0,0,0,4,0,0,
2026-02-01,RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,NHS ENGLAND EAST OF ENGLAND ,8724,0,4954,0,501,209,2085,211,8724,4954,43.2
2026-02-01,RJN,EAST CHESHIRE NHS TRUST,NHS ENGLAND NORTH WEST ,3856,73,2105,0,218,470,698,145,3929,2105,46.4
2026-02-01,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST ,12507,0,5609,0,476,995,2566,436,12507,5609,55.2
2026-02-01,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST ,12044,0,4885,0,301,1059,3635,1701,12044,4885,59.4
2026-02-01,NNF94,EAST RIDING COMMUNITY HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND ,10184,0,4342,0,768,559,4438,252,10184,4342,57.4
2026-02-01,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,NHS ENGLAND SOUTH EAST ,8832,1293,3795,0,190,113,2637,508,10125,3795,62.5
2026-02-01,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,NHS ENGLAND LONDON,10245,0,3045,0,530,732,1848,80,10245,3045,70.3
2026-02-01,Y03007,ERDINGTON GP HEALTH & WELLBEING WIC,NHS ENGLAND MIDLANDS ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,AQM01,FAVERSHAM MEDICAL PRACTICE MIU,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,NHS ENGLAND SOUTH EAST ,0,0,0,0,0,0,0,0,0,0,
